HB,494_bus
HB,662_bus
HB,685_bus
JGD_SPG,EX1 (2)
JGD_SPG,EX2 (2)
Pajek,Erdos971
Pajek,Erdos981
Pajek,Erdos991
Gset,G1
Gset,G10
Gset,G11
Gset,G12
Gset,G13
Gset,G14
Gset,G15
Gset,G16
Gset,G17
Gset,G18
Gset,G19
Gset,G2
Gset,G20
Gset,G21
Gset,G3
Gset,G4
Gset,G43
Gset,G44
Gset,G45
Gset,G46
Gset,G47
Gset,G5
Gset,G51
Gset,G52
Gset,G53
Gset,G54
Gset,G6
Gset,G7
Gset,G8
Gset,G9
Pajek,GD06_theory
Pajek,GD96_c
Pajek,GD97_a
Pajek,GD97_b
Pajek,GD98_c
Pajek,GD99_b
Pajek,Journals
AG-Monien,L
Oberwolfach,LF10
Oberwolfach,LFAT5
Rommes,M10PI_n
Rommes,M10PI_n1
Rommes,S10PI_n
Rommes,S10PI_n1
Pajek,Sandi_authors
PARSEC,Si2
Pajek,Stranke94
JGD_Trefethen,Trefethen_150
JGD_Trefethen,Trefethen_20
JGD_Trefethen,Trefethen_200
JGD_Trefethen,Trefethen_200b
JGD_Trefethen,Trefethen_20b
JGD_Trefethen,Trefethen_300
JGD_Trefethen,Trefethen_500
JGD_Trefethen,Trefethen_700
Pajek,USAir97
Newman,adjnoun
HB,ash292
HB,ash85
HB,bcspwr01
HB,bcspwr02
HB,bcspwr03
HB,bcspwr04
HB,bcspwr05
HB,bcsstk01
HB,bcsstk02
HB,bcsstk03
HB,bcsstk04
HB,bcsstk05
HB,bcsstk06
HB,bcsstk07
HB,bcsstk19
HB,bcsstk20
HB,bcsstk22
Boeing,bcsstk34
HB,bcsstm01
HB,bcsstm02
HB,bcsstm03
HB,bcsstm04
HB,bcsstm05
HB,bcsstm06
HB,bcsstm07
HB,bcsstm19
HB,bcsstm20
HB,bcsstm22
Boeing,bcsstm34
Bai,bfwb398
Bai,bfwb62
Bai,bfwb782
Bai,bwm200
AG-Monien,cage
vanHeukelum,cage3
vanHeukelum,cage4
vanHeukelum,cage5
vanHeukelum,cage6
vanHeukelum,cage7
HB,can_144
HB,can_161
HB,can_187
HB,can_229
HB,can_24
HB,can_256
HB,can_268
HB,can_292
HB,can_445
HB,can_61
HB,can_62
HB,can_634
HB,can_715
HB,can_73
HB,can_838
HB,can_96
Bai,cdde1
Bai,cdde2
Bai,cdde3
Bai,cdde4
Bai,cdde5
Bai,cdde6
Arenas,celegans_metabolic
DIMACS10,chesapeake
Bai,ck104
Newman,dolphins
Bai,dwg961a
Bai,dwg961b
HB,dwt_162
HB,dwt_193
HB,dwt_198
HB,dwt_209
HB,dwt_221
HB,dwt_234
HB,dwt_245
HB,dwt_307
HB,dwt_310
HB,dwt_346
HB,dwt_361
HB,dwt_419
HB,dwt_492
HB,dwt_503
HB,dwt_512
HB,dwt_59
HB,dwt_592
HB,dwt_607
HB,dwt_66
HB,dwt_72
HB,dwt_758
HB,dwt_869
HB,dwt_87
HB,dwt_878
HB,dwt_918
HB,dwt_992
VDOL,dynamicSoaringProblem_1
FIDAP,ex1
FIDAP,ex2
FIDAP,ex21
FIDAP,ex22
FIDAP,ex25
FIDAP,ex27
FIDAP,ex5
Newman,football
VDOL,freeFlyingRobot_1
VDOL,goddardRocketProblem_1
VDOL,goddardRocketProblem_2
HB,gr_30_30
AG-Monien,grid1
AG-Monien,grid1_dual
VDOL,hangGlider_1
HB,hor_131
HB,jagmesh1
Arenas,jazz
Newman,karate
HB,lap_25
Newman,lesmis
HB,lock_700
VDOL,lowThrust_1
HB,lshp_265
HB,lshp_406
HB,lshp_577
HB,lshp_778
HB,lund_a
HB,lund_b
Pothen,mesh1e1
Pothen,mesh1em1
Pothen,mesh1em6
Pothen,mesh2e1
Pothen,mesh2em5
Pothen,mesh3e1
Pothen,mesh3em5
Bai,mhdb416
Boeing,msc00726
AG-Monien,netz4504_dual
HB,nos1
HB,nos2
HB,nos3
HB,nos4
HB,nos5
HB,nos6
HB,nos7
Bai,odepb400
VDOL,orbitRaising_1
VDOL,orbitRaising_2
VDOL,orbitRaising_3
VDOL,orbitRaising_4
HB,orsirr_2
Bai,pde225
Bai,pde900
HB,plat362
HB,plskz362
FEMLAB,poisson2D
Newman,polbooks
FEMLAB,problem1
Bai,qc324
Rajat,rajat14
Bai,rdb200
Bai,rdb200l
Bai,rdb450
Bai,rdb450l
Bai,rdb800l
Bai,rdb968
VDOL,reorientation_1
HB,saylr1
HB,saylr3
HB,sherman1
VDOL,spaceShuttleEntry_1
VDOL,spaceStation_1
VDOL,spaceStation_2
VDOL,spaceStation_3
VDOL,spaceStation_4
Pothen,sphere2
Pothen,sphere3
HB,steam1
HB,steam2
HB,steam3
MathWorks,tomography
Bai,tub100
Bai,tub1000
VDOL,tumorAntiAngiogenesis_1
VDOL,tumorAntiAngiogenesis_2
VDOL,tumorAntiAngiogenesis_3
VDOL,tumorAntiAngiogenesis_4
VDOL,tumorAntiAngiogenesis_5
VDOL,tumorAntiAngiogenesis_6
VDOL,tumorAntiAngiogenesis_7
VDOL,tumorAntiAngiogenesis_8
HB,young1c
HB,young2c
HB,young4c
